Location,Club Public Hours,Winter Play,Map It,Phone,Type,Lights,Courts
Buttonwood Park Book Online,,,"('30  Mulham Pl ', '43.6820428693', '-79.5208937116')",311,Public,Yes,3
Parkway Valley Tennis Club,Saturdays 4 p.m. - 7 p.m.Sundays 4 p.m. - 7 p.m.Holidays 3 p.m. - 5 p.m.,,"('230  Cassandra Blvd ', '43.7547695052', '-79.3183752092')",416-391-3962,Club,Yes,4
Cedarvale Park,,,"('443  Arlington Ave ', '43.6920429866', '-79.4293463982')",311,Public,Yes,4
Chalkfarm Park,,Yes,"('2230 Jane St ', '43.7251242398', '-79.5153049996')",311,Public,No,2
Champlain Parkette Book Online,,,"('50  Champlain Blvd. ', '43.7321364042', '-79.4442690567')",311,Public,No,2
Charlottetown Tennis Club,Tuesdays 4 p.m. - 6 p.m.Wednesdays 4 p.m. - 6 p.m.Sundays 1 p.m. - 3 p.m.Holidays 10 a.m. - 12 p.m.,,"('65  Charlottetown Blvd ', '43.7816672717', '-79.1402378204')",416-284-3575,Club,Yes,3
Clairlea Park,,,"('45  Fairfax Cres ', '43.7142966616', '-79.2876779339')",311,Public,No,2
Cliffwood Park Book Online,,,"('280  Cliffwood Rd ', '43.8084161039', '-79.3550893956')",311,Public,No,3
Cloverdale Park,,Yes,"('85  Shaver Ave S', '43.6338484595', '-79.5445523618')",311,Public,Yes,3
Pleasantview Tennis Club,Saturdays 1 p.m. - 4 p.m.Sundays 1 p.m. - 4 p.m.Holidays 2 p.m. - 4 p.m.,,"('116  Clydesdale Dr ', '43.7832230865', '-79.3294248222')",311,Club,Yes,4
Coleman Park,,,"('19  Coleman Ave ', '43.6893991992', '-79.2998132901')",311,Public,No,2
Centennial Tennis Club,Mondays 4 p.m. - 6 p.m.Saturdays 1 p.m. - 3 p.m.Sundays 1 am - 3 amHolidays 4 p.m. - 6 p.m.,,"('250  Dolly Varden Blvd ', '43.7739195626', '-79.2361470713')",311,Club,Yes,3
Cosburn Park,Saturdays 7 p.m. - 11 p.m.Sundays 9 p.m. - 11 p.m.Holidays 6 p.m. - 11 p.m.,,"('115  Roosevelt Rd ', '43.6929471282', '-79.3302786169')",311,Club,Yes,5
Hillcrest Tennis Club,Saturdays 12 p.m. - 3 p.m.Sundays 12 p.m. - 3 p.m.,,"('37  Cresthaven Dr ', '43.7989881401', '-79.3632595734')",416-756-2929,Club,Yes,4
Cummer Park,,Yes,"('823  Cummer Ave ', '43.7996349111', '-79.3718071461')",311,Public,Yes,4
Dovercourt Park,,Yes,"('155  Bartlett Ave ', '43.6652150466', '-79.4335347104')",311,Public,No,2
Dunlace Tennis Club,Fridays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,"('28  Dunlace Dr ', '43.7627551751', '-79.3684971127')",289-809-3061,Club,Yes,3
East Mall Park,,Yes,"('355  The East Mall ', '43.6424081745', '-79.557311762')",311,Public,Yes,3
Eglinton Flats,,,"('101  Emmett Ave ', '43.6849623766', '-79.4993864321')",311,Public,Yes,13
Eglinton Park,,,"('200  Eglinton Ave W', '43.707455346', '-79.4053288336')",311,Public,Yes,2
Elie Wiesel Park Book Online,,Yes,"('30  Palm Dr ', '43.7457158533', '-79.4380929802')",311,Public,Yes,3
Guildwood Tennis Club,Sundays 3 p.m. - 6 p.m.Saturdays 3 p.m. - 6 p.m.Holidays 3 p.m. - 6 p.m.,,"('180  Sylvan Ave ', '43.7394428294', '-79.2047485273')",647-228-5821,Club,Yes,4
Fairmount Park,,Yes,"('1725  Gerrard St E', '43.6758927912', '-79.3157246806')",311,Public,Yes,4
Fenside Park Book Online,,Yes,"('30  Slidell Cres ', '43.7648962727', '-79.3272223147')",311,Public,Yes,4
Firgrove Park,,Yes,"('254  Firgrove Cres ', '43.7506299125', '-79.5215981399')",311,Public,No,3
Flagstaff Park,,,"('42  Mercury Rd ', '43.7211741632', '-79.5906395357')",311,Public,Yes,2
Fountainhead Community Tennis Club,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,"('445  Sentinel Rd ', '43.7619604841', '-79.4989775676')",416-496-0225,Club,Yes,3
Gihon Spring Park,,Yes,"('75  Gihon Spring Dr ', '43.7545277654', '-79.5946310982')",311,Public,Yes,2
Glen Park,,,"('44 A Eastglen Cres ', '43.6508232808', '-79.5528803231')",311,Public,Yes,2
Glendora Park,,Yes,"('201  Glendora Ave ', '43.7615281708', '-79.3999245342')",311,Public,Yes,2
Goulding Park,,Yes,"('80  Patricia Ave ', '43.7908731496', '-79.4223942054')",311,Public,No,3
Gracedale Park,,Yes,"('176  Gracedale Blvd ', '43.751942337', '-79.5621766567')",311,Public,No,3
Grandravine Park,,,"('23  Grandravine Dr ', '43.7519255923', '-79.4913156605')",311,Public,No,3
Graydon Hall Park,,,"('215  Graydon Hall Dr ', '43.7629563033', '-79.3420432259')",311,Public,Yes,3
Gwendolen Tennis Club,Fridays 5 p.m. - 7 p.m.Fridays 8 p.m. - 10 p.m.Sundays 9 p.m. - 11 p.m.Holidays 9 p.m. - 11 p.m.,,"('3  Gwendolen Cres ', '43.7513187144', '-79.4199866692')",416-730-0429,Club,Yes,3
Gwendolen Park,,,"('3  Gwendolen Cres ', '43.7513187144', '-79.4199866692')",311,Public,Yes,1
Henry Farm Tennis Club,Sundays 1 p.m. - 4 p.m.Saturdays 1 p.m. - 4 p.m.,,"('15  Havenbrook Blvd. ', '43.7677120823', '-79.356629149')",416-493-7675,Club,Yes,4
Bayview Village Tennis Club,Saturdays 4 p.m. - 7 p.m.Sundays 4 p.m. - 7 p.m.,,"('1 A Hawksbury Dr ', '43.7708575539', '-79.3830617488')",647-974-5499,Club,Yes,6
Hendon Park,,,"('50  Hendon Ave ', '43.7814751015', '-79.4207514299')",311,Public,Yes,4
Heron Park Tennis Club,Saturdays 8 p.m. - 11 p.m.Sundays 8 p.m. - 11 p.m.Holidays 8 p.m. - 11 p.m.,,"('292   Manse Rd ', '43.7692842438', '-79.1772993978')",416-282-4842,Club,Yes,5
High Park,,Yes,"('1873  Bloor St W', '43.6468021242', '-79.4628353718')",311,Public,Yes,7
Howard Park Tennis Club,Fridays 9 p.m. - 11 p.m.Saturdays 9 p.m. - 11 p.m.Sundays 9 p.m. - 11 p.m.Holidays 9 p.m. - 11 p.m.,Yes,"('1873  Bloor St W', '43.6468021242', '-79.4628353718')",416-769-5600,Club,Yes,7
Wychwood Tennis Club,Saturdays 7 p.m. - 11 p.m.Sundays 6 p.m. - 11 p.m.Holidays 6 p.m. - 11 p.m.,Yes,"('950  Davenport Rd ', '43.6759841933', '-79.4245259326')",416 654 6756,Club,Yes,4
Howard Talbot Park,,,"('635  Eglinton Ave E', '43.7106035003', '-79.3737533705')",311,Public,No,2
Hullmar Park,,Yes,"('97  Hullmar Dr ', '43.7649386273', '-79.525418559')",311,Public,Yes,3
Humber Valley Park,,,"('54  Anglesey Blvd ', '43.6649968467', '-79.5251424045')",311,Public,Yes,4
Indian Line Park,,,"('655  Humberwood Blvd ', '43.7249686499', '-79.6224617942')",311,Public,Yes,2
Iroquois Tennis Club,Mondays 4 p.m. - 6 p.m.Saturdays 5 p.m. - 7 p.m.Sundays 5 p.m. - 7 p.m.Holidays 4 p.m. - 6 p.m.,,"('295  Chartland Blvd S', '43.803747715', '-79.2673200765')",311,Club,No,3
Irving W. Chapley Park,,Yes,"('205  Wilmington Ave ', '43.7617768339', '-79.4552215133')",311,Public,Yes,2
Jeff Healey Park,,Yes,"('1  Delroy Dr ', '43.6302406958', '-79.4949226173')",311,Public,Yes,2
Jimmie Simpson Park,,Yes,"('870  Queen St E', '43.6611735016', '-79.344742415')",311,Public,No,2
Jonathan Ashbridge Park Book Online,,Yes,"('1515  Queen St E', '43.6646987507', '-79.3199305741')",311,Public,No,2
Davisville Tennis Club,"Saturdays 9 p.m. - 11 p.m.Sundays Courts 1-6, 6 p.m. - 11 p.m.",,"('220  Davisville Ave ', '43.7006938955', '-79.3885304569')",416-481-6569,Club,Yes,6
Kingsview Park,,,"('46 Kingsview Blvd ', '43.6991667321', '-79.5543427124')",311,Public,No,2
Kirkwood Park,,Yes,"('25  Kirkwood Rd. ', '43.7556139518', '-79.3616754511')",311,Public,Yes,4
Scarborough Winter Tennis Club,,,"('300  Silver Springs Blvd ', '43.805449053', '-79.3050267039999')",416-396-4041,Club,Yes,5
Laburnham Park,,Yes,"('60  Laburnham Ave ', '43.6001318064', '-79.5280276883')",311,Public,Yes,2
Lakeshore Boulevard Parklands Book Online,,Yes,"('1389  Lake Shore Blvd W', '43.6348233595', '-79.4426021971')",311,Public,No,4
Lambton - Kingsway Park,,,"('37  Marquis Ave ', '43.6575825508', '-79.5078062917')",311,Public,No,2
Lanyard Park,,Yes,"('138  Lanyard Rd. ', '43.7475157958', '-79.5486740564')",311,Public,No,3
Lawrence Park Tennis Club,,,"('51  Alexander Muir Rd. ', '43.7222056878', '-79.3999718915')",311,Club,Yes,3
Thorncliffe Park Tennis Club,Saturdays 8 p.m. - 11 p.m.Sundays 8 p.m. - 11 p.m.,,"('5  Leaside Park Dr ', '43.7021962957', '-79.35009806')",416-429-7108,Club,Yes,6
Newtonbrook Tennis Club,Saturdays 12 p.m. - 3 p.m.Sundays 12 p.m. - 3 p.m.,,"('227  Otonabee Ave ', '43.7976883865', '-79.4079395846')",416-512-7432,Club,Yes,3
Lora Hill Park,,Yes,"('36 Fernalroy Blvd ', '43.6383335775', '-79.5148294637')",311,Club,Yes,2
Lytton Park,,,"('200  Lytton Blvd ', '43.7149211094', '-79.4108232766')",416-312-5300,Club,Yes,3
Major Abbas Ali Park,Tuesdays 4 p.m. - 6 p.m.Wednesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Saturdays 4 p.m. - 6 p.m.Sundays 4 p.m. - 6 p.m.Holidays 4 p.m. - 6 p.m.,,"('180  Mclevin Ave ', '43.8048478217', '-79.2306931574')",311,Club,Yes,3
Malvern Park,,Yes,"('36  Sewells Rd ', '43.8091940924', '-79.2171753204')",311,Public,Yes,3
Manchester Park Book Online,,Yes,"('75  Manchester St ', '43.619935502', '-79.4913000364')",311,Public,Yes,3
Maple Leaf Park Book Online,,Yes,"('320 Culford Rd ', '43.7158024716', '-79.4934534865')",311,Public,Yes,3
Martingrove Gardens Park,,,"('31  Lavington Dr ', '43.6891656087', '-79.5633368359')",311,Public,Yes,3
Dentonia Park Tennis Club,Sundays 4:30 p.m. - 11 p.m.Holidays 8:30 p.m. - 11 p.m.,Yes,"('19  Maryland Blvd ', '43.6918451978', '-79.295201344')",416-699-2412,Club,Yes,4
Maryvale Tennis Club,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.Holidays 12 p.m. - 2 p.m.,Yes,"('5  Trestleside Grv ', '43.7530814449', '-79.3065284999')",416-878-5005,Club,Yes,3
McDairmid Woods Park,,Yes,"('51  Rubic Cres ', '43.7798555618', '-79.2676081455')",311,Public,Yes,3
McGregor Park,,Yes,"('2231  Lawrence Ave E', '43.7473020114', '-79.2805594627')",311,Public,No,3
Mcnicoll Park,,,"('215  Mcnicoll Ave ', '43.7986097916', '-79.3532864223')",311,Public,Yes,3
Mill Valley Park,,,"('412  Mill Rd ', '43.6418045413', '-79.5878181642')",311,Public,No,2
Millwood Park,,,"('4370  Bloor St W', '43.6317644586', '-79.5784370187')",311,Public,Yes,3
Mimico Tennis Club,,,"('75  Hillside Ave ', '43.6098135096', '-79.4936683215')",311,Club,Yes,3
Moore Park - North York,,,"('110  Cactus Ave ', '43.7915790218', '-79.4353438261')",311,Public,No,3
Moore Park Tennis Club,Sundays 8 p.m. - 11 p.m.Saturdays 8 p.m. - 11 p.m.Holidays 9 p.m. - 11 p.m.,,"('175  Moore Ave ', '43.6935039722', '-79.3822524663')",647-556-7877,Club,Yes,5
Moss Park,,,"('150  Sherbourne St ', '43.6550677781', '-79.3710758316')",311,Public,Yes,1
North Bendale Tennis Club,Saturdays 9:30 a.m. - 12:30 p.m.Sundays 9:30 a.m. - 12:30 p.m.Holidays 9 p.m. - 11 p.m.,,"('40  Erinlea Cres ', '43.7697082605', '-79.2447949901')",416-438-4913,Club,Yes,3
North Park,,,"('587 Rustic Rd ', '43.7164073429', '-79.4739613038')",311,Public,No,2
Norwood Park,,Yes,"('16 Norwood Rd ', '43.6823093419', '-79.3037543007')",311,Public,No,5
York Old Mill Tennis Club,Saturdays 5 p.m. - 11 p.m.Holidays 2 p.m. - 4 p.m.,,"('5  Catherine St ', '43.6508546958', '-79.4902386929')",416-763-3088,Club,Yes,4
Oriole Park - North York,,,"('2955  Don Mills Rd ', '43.781490886', '-79.3510068663')",311,Club,Yes,4
Oriole Park - Toronto,,Yes,"('201  Oriole Pkwy ', '43.6972457332', '-79.400237963')",311,Public,No,2
Ourland Park,,Yes,"('18  Ourland Ave ', '43.6155516982', '-79.5086951021')",311,Public,Yes,2
Park Lawn Park Book Online,,,"('330  Park Lawn Rd ', '43.6391576953', '-79.4955210501')",311,Public,Yes,4
Pelmo Park Book Online,,Yes,"('171  Pellatt Ave ', '43.7133754964', '-79.5176161181')",311,Public,Yes,3
Pine Point Park,,Yes,"('4  Conan Rd ', '43.7161585765', '-79.5441307178')",311,Public,Yes,2
Pine Point Tennis Club,,Yes,"('4  Conan Rd ', '43.7161585765', '-79.5441307178')",416-657-2529,Club,Yes,4
Prairie Drive Park,,,"('101  Pharmacy Ave ', '43.6971138504', '-79.2841183812')",311,Public,Yes,3
Prince of Wales Park,,,"('1  Third St ', '43.5988411312', '-79.4987828571')",311,Public,Yes,4
Princess Anne Park,,,"('25 A Princess Margaret Blvd ', '43.6732653522', '-79.5397461835')",311,Public,No,2
Queensway Park,,,"('8  Avon Park Dr ', '43.6272622573', '-79.5064037093')",311,Public,No,1
Queensway Park,,,"('8  Avon Park Dr ', '43.6272622573', '-79.5064037093')",311,null,null,1
Ramsden Park,,Yes,"('1020  Yonge St ', '43.6764157172', '-79.3930150445')",311,Public,No,12
The Swansea Tennis Club,Saturdays 5 p.m. - 11 p.m.Holidays 1 p.m. - 3 p.m.,,"('1  Rennie Terr ', '43.6425865388', '-79.4722488073')",311,Club,Yes,4
Riverdale Park East,,Yes,"('550  Broadview Ave ', '43.6700504666', '-79.3557408692')",311,Public,No,7
Rockford Park,,,"('70  Rockford Rd ', '43.786447041', '-79.4539759017')",311,Public,No,2
The Rosedale Tennis Club,Saturdays 5 p.m. - 9 p.m.Sundays 4 p.m. - 9 p.m.Holidays 2 p.m. - 8 p.m.,,"('20  Scholfield Ave ', '43.6827794649', '-79.3789306778')",416-922-7906,Club,No,8
The Rosethorn Tennis Club,Saturdays 7 p.m. - 11 p.m.Sundays 9 p.m. - 11 p.m.,,"('26  Remington Dr ', '43.6584426506', '-79.5391261116')",311,Club,Yes,3
Rotary Peace Park,,Yes,"('25  Eleventh St ', '43.5947627637', '-79.5068692837')",311,Public,No,2
Royal Crest Park,,,"('50  Cabernet Cir ', '43.7527913227', '-79.6052923472')",311,Public,Yes,3
Roywood Park,,Yes,"('2  Roywood Dr ', '43.7645460279', '-79.3207956529')",311,Public,Yes,4
Ruddington Park,,,"('75  Ruddington Dr ', '43.7922885516', '-79.3892434185')",311,Public,Yes,3
Runnymede Park,,Yes,"('221  Ryding Ave ', '43.6682913596', '-79.4785521342')",311,Public,No,2
Scarborough Bluffs Tennis Club,Saturdays 5 p.m. - 8 p.m.Sundays 5 p.m. - 8 p.m.Holidays 5 p.m. - 8 p.m.,Yes,"('61  Undercliff Dr ', '43.7038058727', '-79.2418181671')",416-410-6300,Club,Yes,4
Edenbridge Tennis Club,Saturdays 8 p.m. - 11 p.m.Sundays 8 p.m. - 11 p.m.Holidays 8 p.m. - 11 p.m.,,"('235  Edenbridge Dr ', '43.675747482', '-79.5106471991')",416-279-9940,Club,Yes,4
Seneca Hill Tennis Club,Saturdays 2 p.m. - 5 p.m.Sundays 2 p.m. - 5 p.m.,,"('620  Seneca Hill Dr ', '43.7915047411', '-79.3517317119')",311,Club,Yes,4
Sentinel Park,,Yes,"('295  Sentinel Rd ', '43.7552003414', '-79.4985517251')",311,Public,No,2
Seven Oaks Tennis Club,Saturdays 3 p.m. - 6 p.m.Sundays 3 p.m. - 6 p.m.Holidays 3 p.m. - 5 p.m.,,"('372  Military Trl ', '43.7882509494', '-79.2105842681')",311,Club,Yes,3
Shawnee Park,,Yes,"('81  Shawnee Cir ', '43.797043156', '-79.3383512436')",311,Public,No,4
Silver Creek Seniors Tennis Club,,Yes,"('44  Strathdee Dr. ', '43.6827011213', '-79.5434038267')",416-244-7286,Club,Yes,3
Sir Adam Beck Park,,,"('55  Eltham Dr ', '43.602121408', '-79.5475491068')",311,Public,Yes,2
Sir Winston Churchill Tennis Club,Saturdays 8 p.m. - 11 p.m.Sundays 6 p.m. - 11 p.m.Holidays 6 p.m. - 11 p.m.,,"('301  St. Clair Ave W', '43.6828812958', '-79.408860746')",416-924-4558,Club,Yes,7
Sorauren Avenue Park,,Yes,"('289  Sorauren Ave ', '43.6486487345', '-79.443067482')",311,Public,No,2
Stanley Greene Park,,,"('55  Stanley Greene Blvd.  ', '43.7344958725', '-79.4773371246')",311,null,Yes,2
Stanley Park,,Yes,"('27  Stanley Rd. ', '43.7419026899', '-79.515406362')",311,Public,No,3
Stanley Park South - Toronto,,,"('700  Wellington St W', '43.6419107656', '-79.4089348293')",311,Public,No,2
Stephen Leacock Tennis Club,Sundays 1 p.m. - 7 p.m.Holidays 12 p.m. - 2 p.m.,,"('2530  Birchmount Rd ', '43.7872164775', '-79.3024857029')",311,Club,Yes,4
Strathburn Park,,,"('55  Strathburn Blvd ', '43.7221408633', '-79.5327912218')",311,Public,Yes,2
Summerlea Park,,,"('2  Arcot Blvd ', '43.7306176054', '-79.5485540204')",311,Public,Yes,2
Sunnydale Acres Park,,,"('50  Amoro Dr ', '43.7240965942', '-79.5785252771')",311,Public,Yes,4
Sunnylea Park,,Yes,"('195 Prince Edward Dr S', '43.6415571047', '-79.5016309529')",311,Public,Yes,2
Sweeney Park Book Online,,,"('110  Sweeney Dr ', '43.7362132992', '-79.316011738')",311,Public,Yes,3
Symington Avenue Playground,,Yes,"('431  Perth Ave ', '43.6667061047', '-79.4522856811')",311,Public,No,2
Tam Heather Country Club Grounds,,,"('50  Bonspiel Dr ', '43.7914613609999', '-79.1977789209999')",311,Club,Yes,4
Thomson Park Tennis Club,Mondays 4 p.m. - 6 p.m.Tuesdays 4 p.m. - 6 p.m.Sundays 4 p.m. - 6 p.m.Holidays 4 p.m. - 6 p.m.,,"('1005  Brimley Rd ', '43.7575786177', '-79.2533708865')",311,Club,Yes,3
Parkway Valley Tennis Club,,,"('82  Three Valleys Dr ', '43.7505973363', '-79.3394444969')",416-391-3962,Club,Yes,2
Central Tennis Club,Sundays 8 p.m. - 11 p.m.Saturdays 8 p.m. - 11 p.m.,Yes,"('4725  Dundas St. W', '43.6484570523', '-79.5217785888')",416-236-2835,Club,Yes,3
Topham Park,,Yes,"('181  Westview Blvd. ', '43.7100225274', '-79.3065172647')",311,Public,Yes,2
Tournament Park Tennis Club,Fridays 9 p.m. - 11 p.m.Saturdays 7 p.m. - 11 p.m.,,"('40  Tournament Dr ', '43.7515342315', '-79.3996976275')",416-733-4643,Club,Yes,4
Leaside Tennis Club,Sundays 9 p.m. - 11 p.m.Saturdays 7 p.m. - 11 p.m.,,"('110  Rumsey Rd ', '43.705570191', '-79.3674495146')",416-467-9350,Club,Yes,6
Trinity Bellwoods Park,,Yes,"('790  Queen St W', '43.6477934801', '-79.4143036054')",311,Public,No,8
Viewmount Park Tennis Club,Fridays 7 p.m. - 11 p.m.Saturdays 9 p.m. - 11 p.m.Holidays 9 p.m. - 11 p.m.,,"('169  Viewmount Ave ', '43.7070287033', '-79.4374593876')",416-395-6021,Club,Yes,4
Wanless Park Tennis Club,Saturdays 8 p.m. - 11 p.m.Sundays 8 p.m. - 11 p.m.,,"('250  Wanless Ave ', '43.728932197', '-79.3920573305')",416-483-4546,Club,Yes,5
Wedgewood Park - Etobicoke,,,"('15  Swan Ave ', '43.6444634749', '-79.547517477')",311,Public,Yes,1
Wedgewood Park - North York,,Yes,"('145  Wedgewood Dr ', '43.7905113086', '-79.4063113799')",311,Public,No,2
Martingrove Tennis Club,Saturdays 5 p.m. - 11 p.m.,,"('19  Sedgebrook Cres ', '43.6639989632', '-79.5634940078')",311,Club,Yes,4
West Rouge Tennis Club,Mondays 4 p.m. - 7 p.m.Sundays 4 p.m. - 7 p.m.Holidays 4 p.m. - 7 p.m.,,"('270  Rouge Hills Dr ', '43.7915901903', '-79.1254637314')",311,Club,Yes,3
Westgrove Park,,,"('15  Redgrave Dr ', '43.6818208024', '-79.5676612134')",311,Public,Yes,2
Westmount Park Book Online,,Yes,"('22  Arcade Dr ', '43.687305663', '-79.5188097181')",311,Public,Yes,3
York Weston Lions Tennis Club,Fridays 4 p.m. - 8 p.m.Saturdays 2 p.m. - 4 p.m.,,"('2125  Lawrence Ave W', '43.6985583795', '-79.5180978282')",416-243-7068,Club,Yes,4
Westway Park,,,"('175  The Westway ', '43.6877692708', '-79.5415217577')",311,Public,Yes,4
North York Tennis Club,,,"('75  Hollywood Ave ', '43.7663856008', '-79.407279077')",416-590-9704,Club,Yes,4
Wishing Well Tennis Club,Saturdays 1 p.m. - 4 p.m.Sundays 1 p.m. - 4 p.m.Holidays 1 p.m. - 4 p.m.,,"('1700  Pharmacy Ave ', '43.7698684436', '-79.3166203898')",416-492-9696,Club,Yes,3
Withrow Park and Clubhouse,,Yes,"('725  Logan Ave ', '43.6744320603', '-79.3469330614')",311,Public,No,2
Valley Tennis Club,Sundays 7 p.m. - 11 p.m.Saturdays 9 p.m. - 11 p.m.,,"('3865  Yonge St ', '43.7404834459', '-79.4053132032')",416-440-0645,Club,Yes,5
